brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Por Mercado Livre ,4.8,(869),4.599,3.153
ASUS,"Notebook Asus Vivobook Go E1504GA Intel Core I3 N305 4Gb Ram 256Gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj447",Por Asus ,4.6,(387),2.299,1.899
ACER,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Por Grand Commerce ,4.8,(419),4.499,2.949
HP,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Por HP ,5.0,(21),3.137,2.659
ASUS,"Notebook ASUS Vivobook 15 Core I5 1235U 3.3 GHz 8GB Ram 256GB SSD W11 Home Tela 15,6” NanoEdge Full HD Cool Silver X1504ZA-NJ985W",Por Mercado Livre ,4.8,(161),3.199,2.941
LENOVO,Notebook Ideapad 1 R3 8gb 256gb W11 15.6 82x5000abr AMD Ryzen 3,Por Lenovo ,4.8,(493),2.379,228
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 - 7520u 8gb 512gb Ssd Linux 15.6 82X5S00500,Por Lenovo ,4.8,(493),2.469,237
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel® Iris Xe Graphics 256gb Ssd 16gb Ram Windows 11 Home Pls Sl- Ay6z5la#ak4,Por HP ,4.8,(52),3.803,3.324
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I5, 8gb, 256gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",,4.9,(1127),4.999,3.379
ACER,"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",Por Acer Brasil ,4.8,(963),7.299,5.449
,Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Por Positivo ,4.5,(239),2.099,1.437
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i5-1235U 8GB 512GB SSD Windows 11 Home 14"" 83AF000EBR",Por Lenovo ,4.8,(4543),2.894,278
ASUS,"Notebook Asus vivobook 15 x1504za intel core i5 1235u 8gb ram 512gb ssd linux keepos tela 15,6 fhd blue nj983",Por Asus ,4.8,(180),3.399,2.769
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600",Por Lenovo ,4.8,(4543),2.084,200
HP,"Notebook HP 256 G9 Intel® Core™ i5 da 12ª geração SSD 256GB 8GB Intel UHD 15,6"" Windows 11",Por INPOWER ,4.8,(520),4.221,3.123
DELL,Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050,Por Dell ,4.5,(14),6.011,5.710
HP,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Por HP ,5.0,(21),3.137,2.659
